element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Kr	27	"0.63355"	"4"	""		"0"	"15784100"	"2s2.2p6"	"1S"	"0"	"2s.2p6.3p"	"(1/2,3/2)*"	"1"		""	"L9749"	
Kr	27	"0.63852"	"5"	""		"0"	"15661200"	"2s2.2p6"	"1S"	"0"	"2s.2p6.3p"	"(1/2,1/2)*"	"1"		""	"L9749"	
Kr	26	"0.63982"	""	""		"0"	"15629400"	"2p6.3s"	"2S"	"1/2"	"2p6.2s.3s.(1S<0>).3p"	"(0,3/2)*"	"3/2"		""	"L9749"	
Kr	26	"0.64194"	""	""		"0"	"15577800"	"2p6.3s"	"2S"	"1/2"	"2p6.2s.3s.(1S<0>).3p"	"(0,1/2)*"	"1/2"		""	"L9749"	
Kr	28	"0.64321"	""	""		"0"	"15554600"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D<2>).3d"	"(2,5/2)"	"3/2"		""	"L9749"	
Kr	28	"0.6449"	""	""		"446440"	"15953000"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1S<0>).3d"	"(0,3/2)"	"3/2"		""	"L4863"	
Kr	28	"0.64660"	"*"	""		"0"	"15465500"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D<2>).3d"	"(2,3/2)"	"5/2"		""	"L9749"	
Kr	28	"0.64660"	"*"	""		"0"	"15465500"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D<2>).3d"	"(2,3/2)"	"3/2"		""	"L9749"	
Kr	28	"0.64790"	"*"	""		"0"	"15434500"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D<2>).3d"	"(2,3/2)"	"1/2"		""	"L9749"	
Kr	28	"0.64790"	"*"	""		"0"	"15434500"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(1D<2>).3d"	"(2,5/2)"	"5/2"		""	"L9749"	
Kr	28	"0.6502"	""	""		"0"	"15380000"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<1>).3d"	"(1,5/2)"	"5/2"		""	"L4863"	
Kr	28	"0.65194"	""	""		"0"	"15338800"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<1>).3d"	"(1,3/2)"	"5/2"		""	"L9749"	
Kr	28	"0.65319"	""	""		"0"	"15309500"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<1>).3d"	"(1,3/2)"	"3/2"		""	"L9749"	
Kr	28	"0.65939"	""	""		"1901350"	"17066900"	"2s.2p6"	"2S"	"1/2"	"2s.2p5.(2P<1/2>).3d"	"(0,3/2)*"	"3/2"		""	"L9749"	
Kr	28	"0.66085"	""	""		"446440"	"15578500"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D<2>).3d"	"(2,5/2)"	"1/2"		""	"L9749"	
Kr	28	"0.66156"	""	""		"446440"	"15554600"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(1D<2>).3d"	"(2,5/2)"	"3/2"		""	"L9749"	
Kr	28	"0.66265"	""	""		"0"	"15090900"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<0>).3d"	"(0,5/2)"	"5/2"		""	"L9749"	
Kr	28	"0.66389"	""	""		"0"	"15062700"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<0>).3d"	"(0,3/2)"	"3/2"		""	"L9749"	
Kr	28	"0.66627"	""	""		"0"	"15008900"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<2>).3d"	"(2,5/2)"	"5/2"		""	"L9749"	
Kr	28	"0.66754"	""	""		"0"	"14980400"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<2>).3d"	"(2,5/2)"	"3/2"		""	"L9749"	
Kr	27	"0.66973"	"8"	""		"0"	"14931400"	"2s2.2p6"	"1S"	"0"	"2s2.2p5.(2P*<1/2>).3d"	"(1/2,3/2)*"	"1"		""	"L9749"	
Kr	28	"0.6699"	""	""		"446440"	"15374000"	"2s2.2p5"	"2P*"	"1/2"	"2s2.2p4.(3P<1>).3d"	"(1,5/2)"	"3/2"		""	"L4863"	
Kr	26	"0.67145"	"4"	""		"0"	"14893100"	"2p6.3s"	"2S"	"1/2"	"2p5.(2P*<1/2>).3s.3d"	"(1,5/2)*"	"3/2"		""	"L9749"	
Kr	28	"0.6715"	""	""		"0"	"14892000"	"2s2.2p5"	"2P*"	"3/2"	"2s2.2p4.(3P<2>).3d"	"(2,3/2)"	"1/2"		""	"L4863"	
