element	sp_num	obs_wl_vac(nm)	intens	Aki(s^-1)	Acc	Ei(cm-1)	Ek(cm-1)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Ar	2	"3988.0487"	"30"	""		"199959.6798"	"202467.1718"	"3s2.3p4.(3P).5d"	"4D"	"5/2"	"3s2.3p4.(3P).6p"	"4D*"	"3/2"		""	"L11520"	
Ar	2	"4023.896"	"3"	""		"199982.0244"	"202467.1718"	"3s2.3p4.(1D).4d"	"2D"	"3/2"	"3s2.3p4.(3P).6p"	"4D*"	"3/2"		""	"L11520"	
Ar	2	"4048.222"	"7"	""		"199959.6798"	"202429.8993"	"3s2.3p4.(3P).5d"	"4D"	"5/2"	"3s2.3p4.(3P).6p"	"4D*"	"7/2"		""	"L11520"	
Ar	2	"4080.600"	"5"	""		"190106.3000"	"192556.9179"	"3s2.3p4.(3P).5p"	"4D*"	"3/2"	"3s2.3p4.(3P).4d"	"2D"	"5/2"		""	"L11520"	
Ar	2	"4100.7975"	"11"	""		"199982.0244"	"202420.5754"	"3s2.3p4.(1D).4d"	"2D"	"3/2"	"3s2.3p4.(3P).6p"	"4P*"	"1/2"		""	"L11520"	
Ar	2	"4106.9697"	"10"	""		"200032.2867"	"202467.1718"	"3s2.3p4.(3P).6s"	"2P"	"3/2"	"3s2.3p4.(3P).6p"	"4D*"	"3/2"		""	"L11520"	
Ar	2	"4153.074"	"9"	""		"209198.6869"	"211606.5420"	"3s2.3p4.(3P).6d"	"4P"	"5/2"	"3s2.3p4.(3P<1>).6f"	"2[4]*"	"7/2"		""	"L11520"	
Ar	2	"4157.1841"	"37"	""		"200138.9307"	"202544.4050"	"3s2.3p4.(1D).4d"	"2F"	"7/2"	"3s2.3p4.(3P).6p"	"4D*"	"5/2"		""	"L11520"	
Ar	2	"4188.555"	"5"	""		"209198.6869"	"211586.1480"	"3s2.3p4.(3P).6d"	"4P"	"5/2"	"3s2.3p4.(3P<1>).6f"	"2[2]*"	"5/2"		""	"L11520"	
Ar	2	"4191.7730"	"19"	""		"201345.2925"	"203730.9181"	"3s2.3p4.(3P).5d"	"4P"	"3/2"	"3s2.3p4.(3P).6p"	"2P*"	"3/2"		""	"L11520"	
Ar	2	"4283.115"	"5"	""		"208143.0731"	"210477.822"	"3s2.3p4.(3P).6d"	"4F"	"7/2"	"3s2.3p4.(3P<2>).6f"	"2[3]*"	"7/2"		""	"L11520"	
Ar	2	"4298.908"	"10"	""		"192556.9179"	"194883.0921"	"3s2.3p4.(3P).4d"	"2D"	"5/2"	"3s2.3p4.(3P<2>).4f"	"2[3]*"	"7/2"		""	"L11520"	
Ar	2	"4318.7767"	"33"	""		"200151.7014"	"202467.1718"	"3s2.3p4.(3P).5d"	"4D"	"3/2"	"3s2.3p4.(3P).6p"	"4D*"	"3/2"		""	"L11520"	
Ar	2	"4355.681"	"7"	""		"186470.3603"	"188766.2129"	"3s2.3p4.(3P).4d"	"4P"	"3/2"	"3s2.3p4.(3P).5p"	"4P*"	"5/2"		""	"L11520"	
Ar	2	"4359.2449"	"26"	""		"199959.6798"	"202253.6552"	"3s2.3p4.(3P).5d"	"4D"	"5/2"	"3s2.3p4.(3P).6p"	"4P*"	"3/2"		""	"L11520"	
Ar	2	"4405.7246"	"60"	""		"199879.3828"	"202149.1571"	"3s2.3p4.(3P).5d"	"4D"	"7/2"	"3s2.3p4.(3P).6p"	"4P*"	"5/2"		""	"L11520"	
Ar	2	"4446.298"	"5"	""		"201345.2925"	"203594.3546"	"3s2.3p4.(3P).5d"	"4P"	"3/2"	"3s2.3p4.(1D).5p"	"2P*"	"1/2"		""	"L11520"	
Ar	2	"4567.3008"	"31"	""		"199959.6798"	"202149.1571"	"3s2.3p4.(3P).5d"	"4D"	"5/2"	"3s2.3p4.(3P).6p"	"4P*"	"5/2"		""	"L11520"	
Ar	2	"4632.2600"	"30bl"	""		"209413.5184"	"211572.2917"	"3s2.3p4.(3P).6d"	"2D"	"3/2"	"3s2.3p4.(3P<1>).6f"	"2[2]*"	"3/2"		""	"L11520"	
Ar	2	"4650.589"	"8"	""		"201351.6169"	"203501.8810"	"3s2.3p4.(3P).5d"	"4F"	"5/2"	"3s2.3p4.(3P).6p"	"2D*"	"5/2"		""	"L11520"	
Ar	2	"4680.9543"	"27"	""		"201781.8583"	"203918.1752"	"3s2.3p4.(3P).5d"	"4P"	"5/2"	"3s2.3p4.(3P).6p"	"4S*"	"3/2"		""	"L11520"	
Ar	2	"4749.47"	"30*"	""		"214992.067"	"217097.563"	"3s2.3p4.(3P<1>).7h"	"2[4]*"	"9/2"	"3s2.3p4.(3P<1>).8i"	"2[5]"	"11/2"		""	"L11494"	
Ar	2	"4749.47"	"30*"	""		"214992.067"	"217097.563"	"3s2.3p4.(3P<1>).7h"	"2[4]*"	"7/2"	"3s2.3p4.(3P<1>).8i"	"2[5]"	"9/2"		""	"L11494"	
Ar	2	"4754.29"	"760bl*"	""		"214994.011"	"217097.376"	"3s2.3p4.(3P<1>).7h"	"2[6]*"	"13/2"	"3s2.3p4.(3P<1>).8i"	"2[7]"	"15/2"		""	"L11494"	
Ar	2	"4754.29"	"760bl*"	""		"214994.001"	"217097.366"	"3s2.3p4.(3P<1>).7h"	"2[6]*"	"11/2"	"3s2.3p4.(3P<1>).8i"	"2[7]"	"13/2"		""	"L11494"	
Ar	2	"4754.29"	"760*"	""		"213884.356"	"215987.721"	"3s2.3p4.(3P<2>).7i"	"2[6]"	"13/2"	"3s2.3p4.(3P<2>).8k"	"2[7]*"	"15/2"		""	"L11494"	
Ar	2	"4754.29"	"760*"	""		"213884.353"	"215987.718"	"3s2.3p4.(3P<2>).7i"	"2[6]"	"11/2"	"3s2.3p4.(3P<2>).8k"	"2[7]*"	"13/2"		""	"L11494"	
Ar	2	"4754.739"	"910*"	""		"213884.8430"	"215988.008"	"3s2.3p4.(3P<2>).7i"	"2[7]"	"15/2"	"3s2.3p4.(3P<2>).8k"	"2[8]*"	"17/2"		""	"L11494"	
Ar	2	"4754.739"	"910*"	""		"213884.837"	"215988.002"	"3s2.3p4.(3P<2>).7i"	"2[7]"	"13/2"	"3s2.3p4.(3P<2>).8k"	"2[8]*"	"15/2"		""	"L11494"	
Ar	2	"4755.825"	"440bl*"	""		"213884.621"	"215987.306"	"3s2.3p4.(3P<2>).7h"	"2[4]*"	"9/2"	"3s2.3p4.(3P<2>).8i"	"2[5]"	"11/2"		""	"L11494"	
Ar	2	"4755.825"	"440bl*"	""		"213884.608"	"215987.293"	"3s2.3p4.(3P<2>).7h"	"2[4]*"	"7/2"	"3s2.3p4.(3P<2>).8i"	"2[5]"	"9/2"		""	"L11494"	
